Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
1996-1997,Mahmoud Abdul-Rauf\abdulma02,PG,27,SAC,75,51,28.4,5.5,12.3,1.3,3.3,4.2,9,1.5,1.8,0.846,13.7,0.445,18.1,0.734,0.067,0.026,0.133,0.508,0.266,0.468,0.484,0.375,0.423,0.482,0.382
1996-1997,Shareef Abdur-Rahim\abdursh01,PF,20,VAN,80,71,35,6.9,15.2,0.1,0.3,6.8,14.8,4.8,6.5,0.746,18.7,0.453,9.7,0.978,0.495,0.19,0.144,0.148,0.022,0.457,0.529,0.42,0.354,0.367,0.259
1996-1997,Rafael Addison\addisra01,SF,32,CHH,41,3,8.7,1.2,3,0.2,0.5,1,2.5,0.5,0.7,0.786,3.1,0.402,15,0.836,0.287,0.074,0.123,0.352,0.164,0.402,0.343,0.111,0.467,0.488,0.4
1996-1997,Cory Alexander\alexaco01,PG,23,SAS,80,6,18.2,2.4,6.1,1.2,3.2,1.3,3,1.2,1.6,0.736,7.2,0.396,17.8,0.486,0.224,0.047,0.055,0.159,0.514,0.42,0.418,0.565,0.185,0.462,0.373
1996-1997,Jerome Allen\allenje01,SG,24,TOT,76,1,12.4,1,2.9,0.4,1.2,0.6,1.7,0.6,0.9,0.583,3,0.353,15.7,0.579,0.344,0.086,0.054,0.09,0.421,0.375,0.447,0.211,0.333,0.25,0.323
1996-1997,Ray Allen*\allenra02,SG,21,MIL,82,81,30.9,4.8,11.1,1.4,3.6,3.3,7.4,2.5,3,0.823,13.4,0.43,15.2,0.672,0.251,0.098,0.189,0.133,0.328,0.448,0.474,0.461,0.413,0.438,0.393
1996-1997,Derrick Alston\alstode01,C,24,ATL,2,0,5.5,0,2.5,0,0,0,2.5,0,1,0,0,0,11.1,1,0.6,0.2,0.2,0,0,0,0,0,0,0,0
1996-1997,Ashraf Amaya\amayaas01,PF,25,WSB,31,0,4.6,0.4,1.3,0,0,0.4,1.3,0.5,0.9,0.536,1.3,0.3,10.3,0.975,0.625,0.1,0.225,0.025,0.025,0.282,0.36,0.5,0,0,1
1996-1997,Greg Anderson\andergr01,C,32,SAS,82,48,20.2,1.6,3.2,0,0,1.6,3.2,0.8,1.1,0.667,3.9,0.496,7,0.996,0.824,0.149,0.023,0,0.004,0.498,0.5,0.513,0.333,0,0
1996-1997,Kenny Anderson\anderke01,PG,26,POR,82,81,37.6,5.9,13.9,1.6,4.5,4.3,9.4,4.1,5.3,0.768,17.5,0.427,13.8,0.678,0.373,0.087,0.106,0.112,0.322,0.458,0.521,0.303,0.364,0.457,0.361
1996-1997,Nick Anderson\anderni01,SG,29,ORL,63,61,34.3,4.6,11.5,2.3,6.4,2.3,5.1,0.6,1.5,0.404,12,0.397,17.1,0.441,0.157,0.124,0.084,0.076,0.559,0.453,0.553,0.4,0.311,0.491,0.353
1996-1997,Shandon Anderson\andersh01,SG,23,UTA,65,0,16.4,2.3,4.9,0.4,0.7,1.9,4.2,1,1.5,0.687,5.9,0.462,11,0.852,0.478,0.151,0.119,0.104,0.148,0.454,0.539,0.417,0.263,0.333,0.511
1996-1997,Willie Anderson\anderwi01,SG,30,MIA,28,1,10.8,1,2.3,0.3,0.7,0.8,1.6,0.6,0.7,0.85,3,0.453,12.7,0.703,0.281,0.25,0.063,0.109,0.297,0.467,0.667,0.313,0.25,0.429,0.421
1996-1997,Greg Anthony\anthogr01,PG,29,VAN,65,44,28.7,3.1,7.8,1.4,3.7,1.7,4.1,2,2.7,0.73,9.5,0.393,16.9,0.531,0.272,0.028,0.107,0.124,0.469,0.413,0.486,0.5,0.259,0.365,0.37
1996-1997,B.J. Armstrong\armstbj01,PG,29,GSW,49,17,20.8,3,6.7,0.5,1.8,2.5,4.8,1.4,1.6,0.861,7.9,0.453,15.2,0.725,0.202,0.089,0.153,0.281,0.275,0.519,0.712,0.483,0.42,0.446,0.278
